Date,Open,High,Low,Close,Volume
2014-04-07,48.02,48.33,46.9,46.95,124797.0
2014-04-04,49.75,49.84,47.64,48.05,169058.0
2014-04-03,48.93,49.71,48.73,49.34,185412.0
2014-04-02,47.85,48.96,47.67,48.9,106703.0
2014-04-01,47.18,47.91,47.03,47.89,151387.0
2014-03-31,46.64,47.35,46.51,47.08,104044.0
2014-03-28,46.12,46.94,46.12,46.51,101637.0
2014-03-27,46.32,46.62,45.78,46.22,87356.0
2014-03-26,47.12,47.41,46.26,46.27,101860.0
2014-03-25,46.74,47.15,46.15,46.77,96221.0
2014-03-24,47.11,47.11,46.14,46.47,98600.0
2014-03-21,47.14,47.53,46.7,46.98,203235.0
2014-03-20,47.11,47.75,46.64,46.89,86229.0
2014-03-19,46.45,47.14,46.14,47.08,169146.0
2014-03-18,44.54,46.53,44.54,46.52,160530.0
2014-03-17,44.55,44.72,44.06,44.45,218355.0
2014-03-14,44.4,44.99,43.93,44.23,162275.0
2014-03-13,45.36,45.54,44.23,44.57,173393.0
2014-03-12,44.07,45.2,44.07,45.11,97602.0
2014-03-11,45.21,45.49,44.22,44.46,131560.0
2014-03-10,45.08,45.19,44.57,45.04,105344.0
2014-03-07,45.62,45.66,44.81,45.3,79137.0
2014-03-06,45.44,45.46,44.86,45.29,135548.0
2014-03-05,45.24,45.28,44.92,45.2,102310.0
2014-03-04,44.59,46.23,44.23,45.42,282412.0
2014-03-03,43.56,44.39,43.38,44.05,226032.0
2014-02-28,43.49,44.78,43.49,43.86,190103.0
2014-02-27,44.19,44.57,43.36,43.65,153194.0
2014-02-26,42.19,46.86,41.81,44.45,418573.0
2014-02-25,42.73,42.82,41.81,42.12,97084.0
2014-02-24,42.82,43.39,42.63,42.9,150285.0
2014-02-21,43.86,43.96,42.69,42.8,190622.0
2014-02-20,42.66,43.71,42.11,43.55,177758.0
2014-02-19,42.03,42.77,41.9,42.57,267814.0
2014-02-18,42.1,42.55,41.59,42.31,198170.0
2014-02-14,41.91,42.17,41.27,41.8,87317.0
