Date,Open,High,Low,Close,Volume
2014-04-04,48.85,49.14,46.54,47.32,5314457.0
2014-04-03,49.71,49.9,48.18,48.31,2877822.0
2014-04-02,50.1,50.29,49.43,49.58,2068969.0
2014-04-01,48.86,50.12,48.48,50.07,2833768.0
2014-03-31,48.78,49.7,48.69,49.18,2895775.0
2014-03-28,48.44,48.96,47.92,48.34,2210582.0
2014-03-27,48.6,48.6,47.91,48.28,4610761.0
2014-03-26,49.85,50.37,48.63,48.68,2973654.0
2014-03-25,49.87,50.75,49.46,49.78,2555776.0
2014-03-24,50.11,50.49,49.14,49.74,2705461.0
2014-03-21,52.07,52.07,50.04,50.04,3862729.0
2014-03-20,50.91,51.79,50.78,51.61,2717365.0
2014-03-19,52.66,52.9,50.86,51.05,3825323.0
2014-03-18,51.38,52.46,51.3,52.43,1683209.0
2014-03-17,50.88,51.74,50.69,51.28,1957440.0
2014-03-14,50.52,51.03,50.32,50.47,2811716.0
2014-03-13,52.62,52.73,50.13,50.47,4004655.0
2014-03-12,52.59,52.61,51.63,52.34,1982479.0
2014-03-11,52.66,53.26,52.52,52.81,2126520.0
2014-03-10,53.61,53.65,52.57,52.59,1839293.0
2014-03-07,53.68,53.92,53.25,53.61,1477894.0
2014-03-06,53.6,53.94,53.42,53.74,2273916.0
2014-03-05,53.15,53.7,52.99,53.44,2133827.0
2014-03-04,52.32,53.53,52.05,53.5,3841406.0
2014-03-03,51.32,51.72,50.59,51.67,6328777.0
2014-02-28,54.1,54.16,51.89,52.48,6954041.0
2014-02-27,57.2,58.68,53.72,54.28,11610022.0
2014-02-26,54.82,55.03,53.89,54.72,3838457.0
2014-02-25,54.45,54.77,54.03,54.66,2484556.0
2014-02-24,55.4,55.98,54.45,54.47,4212883.0
2014-02-21,55.1,55.55,54.62,55.4,2534750.0
2014-02-20,54.37,54.98,53.6,54.9,1847406.0
2014-02-19,54.52,55.17,54.37,54.47,2310664.0
2014-02-18,54.17,54.86,53.8,54.52,2750807.0
2014-02-14,53.94,54.97,53.94,54.17,3346484.0
2014-02-13,53.51,54.49,53.39,54.13,3033103.0
2014-02-12,52.93,53.88,52.76,53.77,3001462.0
2014-02-11,52.55,53.09,52.3,52.92,1961023.0
2014-02-10,51.84,52.49,51.75,52.28,2340651.0

