Date,Open,High,Low,Close,Volume
2014-04-04,29.68,30.0,28.41,28.44,301422.0
2014-04-03,29.9,30.05,29.16,29.37,139866.0
2014-04-02,29.69,30.0,29.54,29.83,118063.0
2014-04-01,29.52,29.99,29.45,29.67,170337.0
2014-03-31,29.08,29.63,28.85,29.36,176825.0
2014-03-28,29.2,29.83,28.75,28.91,211618.0
2014-03-27,29.36,29.84,29.06,29.24,221425.0
2014-03-26,30.58,30.62,29.39,29.4,234854.0
2014-03-25,30.09,30.81,29.8,30.31,390496.0
2014-03-24,30.44,30.49,29.41,29.95,254483.0
2014-03-21,31.21,31.46,30.26,30.3,351922.0
2014-03-20,30.73,31.43,30.65,31.01,151760.0
2014-03-19,31.1,31.38,30.5,30.81,162708.0
2014-03-18,30.98,31.28,30.79,31.1,372097.0
2014-03-17,31.37,31.6,30.86,30.89,287729.0
2014-03-14,31.22,31.78,30.97,31.09,155199.0
2014-03-13,31.92,32.0,31.12,31.34,223981.0
2014-03-12,31.48,31.89,31.19,31.8,130820.0
2014-03-11,32.02,32.29,31.51,31.68,224889.0
2014-03-10,31.75,32.15,31.59,31.99,235802.0
2014-03-07,32.0,32.16,31.47,31.92,395321.0
2014-03-06,32.02,32.37,31.35,31.75,228104.0
2014-03-05,31.81,32.08,31.47,31.95,260260.0
2014-03-04,30.72,32.3,30.72,31.84,357899.0
2014-03-03,30.3,30.44,29.85,30.17,188545.0
2014-02-28,30.99,31.18,30.58,30.7,190133.0
2014-02-27,30.38,30.98,30.29,30.95,264734.0
2014-02-26,30.44,31.12,30.24,30.75,153545.0
2014-02-25,30.88,30.91,30.16,30.34,152955.0
2014-02-24,30.84,31.26,30.79,30.84,147491.0
2014-02-21,31.43,31.43,30.76,30.79,234713.0
2014-02-20,30.9,31.3,30.51,31.25,178633.0
2014-02-19,30.73,31.37,30.73,30.81,229157.0
2014-02-18,30.49,30.98,30.48,30.97,239825.0
2014-02-14,30.42,30.63,30.18,30.34,190872.0
2014-02-13,29.74,30.67,29.58,30.6,193113.0
2014-02-12,29.94,30.2,29.74,30.1,209940.0
2014-02-11,29.72,30.0,29.43,29.99,242469.0
2014-02-10,29.48,29.72,29.14,29.63,237034.0

