Date,Open,High,Low,Close,Volume
2014-04-04,20.63,20.72,19.9,20.12,7245048.0
2014-04-03,20.91,21.02,20.2,20.24,9215946.0
2014-04-02,20.82,21.03,20.67,20.78,4703029.0
2014-04-01,20.44,20.72,20.3,20.69,6631445.0
2014-03-31,20.54,20.63,20.24,20.44,5097878.0
2014-03-28,20.36,20.6,20.25,20.45,6082050.0
2014-03-27,20.9,20.9,20.06,20.25,6860240.0
2014-03-26,20.65,20.86,20.5,20.59,4620072.0
2014-03-25,20.59,20.74,20.5,20.59,2890943.0
2014-03-24,20.89,20.98,20.45,20.49,4835371.0
2014-03-21,21.11,21.23,20.68,20.78,7984072.0
2014-03-20,21.03,21.14,20.88,20.92,3348840.0
2014-03-19,21.14,21.26,20.97,21.04,5942704.0
2014-03-18,21.2,21.35,21.05,21.1,5363851.0
2014-03-17,21.16,21.5,20.99,21.23,7427933.0
2014-03-14,20.84,21.31,20.83,21.0,7773024.0
2014-03-13,21.5,21.5,20.53,20.85,16099873.0
2014-03-12,19.9,20.66,19.84,20.6,7112897.0
2014-03-11,20.13,20.19,19.82,20.07,5311382.0
2014-03-10,20.09,20.38,20.01,20.29,4683728.0
2014-03-07,20.2,20.29,20.03,20.11,5544651.0
2014-03-06,20.06,20.35,20.01,20.17,4707603.0
2014-03-05,19.79,20.05,19.65,20.04,6588398.0
2014-03-04,19.58,19.8,19.58,19.71,6547395.0
2014-03-03,19.12,19.58,19.03,19.52,4425467.0
2014-02-28,19.61,19.64,19.23,19.35,4936506.0
2014-02-27,19.39,19.71,19.39,19.55,2767535.0
2014-02-26,19.49,19.75,19.33,19.44,4555399.0
2014-02-25,19.78,19.79,19.37,19.46,5304777.0
2014-02-24,19.7,19.87,19.63,19.69,6421718.0
2014-02-21,19.75,19.92,19.7,19.72,7827548.0
2014-02-20,19.66,19.84,19.59,19.63,5095156.0
2014-02-19,19.9,20.0,19.57,19.68,7843761.0
2014-02-18,19.91,20.24,19.85,19.94,6435446.0
2014-02-14,19.42,19.93,19.3,19.8,9008106.0
2014-02-13,19.55,19.86,19.48,19.77,7972535.0
2014-02-12,19.49,19.69,19.24,19.63,8002885.0
2014-02-11,19.16,19.55,19.0,19.37,8944882.0
2014-02-10,19.25,19.55,18.95,19.36,16779584.0

