Date,Open,High,Low,Close,Volume
2014-04-07,36.49,37.3,35.27,35.48,312389.0
2014-04-04,38.39,38.9,36.6,36.93,306512.0
2014-04-03,38.62,39.78,37.9,38.14,269840.0
2014-04-02,38.66,38.84,38.04,38.56,398175.0
2014-04-01,37.21,38.65,36.58,38.49,410913.0
2014-03-31,35.43,37.2,35.43,36.95,307055.0
2014-03-28,35.06,35.8,34.48,35.26,221970.0
2014-03-27,35.56,36.11,34.81,34.96,299036.0
2014-03-26,36.5,37.12,35.34,35.64,274792.0
2014-03-25,36.52,37.08,35.1,36.32,187412.0
2014-03-24,37.29,37.43,35.06,36.01,308333.0
2014-03-21,36.27,37.45,36.05,37.14,535778.0
2014-03-20,36.22,36.58,35.71,36.04,362528.0
2014-03-19,36.51,36.7,35.95,36.34,291510.0
2014-03-18,35.68,36.76,35.42,36.56,382169.0
2014-03-17,35.72,36.16,35.37,35.58,195808.0
2014-03-14,35.46,35.94,34.72,35.54,229130.0
2014-03-13,36.82,36.83,35.27,35.59,453417.0
2014-03-12,36.46,37.03,36.29,36.72,227603.0
2014-03-11,37.26,37.37,36.46,36.67,441648.0
2014-03-10,37.21,37.3,36.57,37.18,283141.0
2014-03-07,36.75,37.61,36.42,37.19,551067.0
2014-03-06,35.88,36.68,35.55,36.63,384208.0
2014-03-05,35.08,36.0,34.9,35.73,334111.0
2014-03-04,33.29,35.38,32.95,34.89,422400.0
2014-03-03,32.84,33.38,32.05,32.82,249178.0
2014-02-28,33.72,34.39,32.95,33.26,269540.0
2014-02-27,33.59,34.16,32.53,33.71,298119.0
2014-02-26,33.46,35.12,33.31,33.69,462962.0
2014-02-25,33.49,33.95,32.65,33.37,323916.0
2014-02-24,32.64,34.58,32.64,33.4,554451.0
2014-02-21,32.13,32.77,31.57,32.62,479361.0
2014-02-20,31.61,32.13,30.96,31.86,396306.0
2014-02-19,32.06,32.77,31.59,31.63,670938.0
2014-02-18,32.19,32.48,31.58,32.23,345925.0
2014-02-14,31.6,32.2,31.13,32.08,357403.0
2014-02-13,31.64,32.2,30.89,31.56,535500.0
2014-02-12,30.44,32.19,30.28,32.14,689548.0
2014-02-11,30.98,31.0,29.88,30.4,395407.0
2014-02-10,30.87,31.69,30.52,30.94,404393.0
2014-02-07,31.23,31.54,30.3,30.96,363411.0
2014-02-06,31.16,31.54,30.31,31.09,470101.0
2014-02-05,32.1,32.64,30.38,30.97,842758.0
2014-02-04,32.74,33.1,32.05,32.35,376563.0
2014-02-03,34.22,34.22,32.11,32.51,599254.0
2014-01-31,32.9,34.9,32.0,34.29,538663.0
2014-01-30,32.1,34.18,32.0,33.4,365687.0
2014-01-29,32.81,33.39,32.04,32.22,476804.0
2014-01-28,32.42,33.61,32.02,33.08,352690.0
2014-01-27,32.14,33.09,31.53,32.26,393130.0
2014-01-24,34.54,34.54,32.29,32.44,462626.0
2014-01-23,35.48,35.48,34.69,34.95,204109.0
2014-01-22,35.38,35.74,35.12,35.6,214578.0
2014-01-21,34.51,35.53,34.47,35.27,276226.0
2014-01-17,34.91,35.0,34.01,34.21,264593.0
2014-01-16,34.76,35.66,34.44,35.35,360722.0
2014-01-15,34.81,34.99,34.17,34.88,244490.0
2014-01-14,33.62,34.92,33.62,34.69,273103.0
2014-01-13,34.28,34.88,33.33,33.57,418959.0
2014-01-10,34.19,34.77,33.84,34.28,780208.0
2014-01-09,33.4,33.93,32.49,33.47,541775.0
2014-01-08,33.9,34.23,32.92,33.33,612267.0
