Date,Open,High,Low,Close,Volume
2014-04-07,80.63,82.08,79.7,81.07,93661.0
2014-04-04,84.05,84.13,80.11,80.94,74955.0
2014-04-03,83.53,83.99,82.53,83.58,94222.0
2014-04-02,81.78,83.22,80.97,83.09,77953.0
2014-04-01,82.45,82.58,80.75,81.86,123771.0
2014-03-31,77.85,82.34,77.23,82.11,157259.0
2014-03-28,78.8,79.78,77.48,77.6,98160.0
2014-03-27,79.12,79.97,77.85,78.84,92348.0
2014-03-26,79.83,80.2,79.03,79.41,112396.0
2014-03-25,80.47,80.63,79.08,79.55,72448.0
2014-03-24,80.67,80.81,79.34,79.86,66311.0
2014-03-21,81.0,82.55,80.13,80.62,137651.0
2014-03-20,80.3,81.81,79.96,81.08,96409.0
2014-03-19,80.83,81.53,79.86,80.61,63532.0
2014-03-18,80.6,81.8,79.77,81.08,114965.0
2014-03-17,79.72,80.93,79.17,80.46,132398.0
2014-03-14,77.07,80.5,76.82,79.0,153137.0
2014-03-13,78.37,78.37,75.95,76.62,86033.0
2014-03-12,78.5,79.0,76.15,78.1,149327.0
2014-03-11,81.75,82.67,78.06,78.29,144202.0
2014-03-10,81.33,83.73,81.33,81.82,198716.0
2014-03-07,86.3,88.19,77.03,81.33,1343035.0
2014-03-06,97.15,98.73,96.15,96.56,100938.0
2014-03-05,95.41,96.63,94.82,96.53,63639.0
2014-03-04,95.47,97.6,95.0,95.46,122711.0
2014-03-03,93.75,94.99,93.39,94.32,104228.0
2014-02-28,95.29,95.88,93.56,94.26,98646.0
2014-02-27,96.07,96.8,94.35,95.16,65420.0
2014-02-26,96.79,98.05,95.41,96.7,91003.0
2014-02-25,97.59,98.58,96.13,96.45,119901.0
2014-02-24,97.31,98.54,97.04,98.07,45630.0
2014-02-21,99.28,99.41,97.42,98.06,53843.0
2014-02-20,97.16,99.42,97.16,98.93,30688.0
2014-02-19,98.61,99.21,97.07,97.46,52262.0
2014-02-18,97.02,99.97,95.96,98.92,67390.0
2014-02-14,96.64,96.68,95.5,96.38,28137.0
2014-02-13,95.25,96.98,95.0,96.68,34313.0
2014-02-12,96.8,97.99,95.68,96.19,35249.0
2014-02-11,95.47,97.11,95.26,97.06,61296.0
2014-02-10,95.22,96.45,94.07,95.74,50489.0
2014-02-07,94.32,95.37,93.59,95.01,78457.0
2014-02-06,94.93,95.35,93.27,94.18,87915.0
2014-02-05,94.24,94.65,92.58,94.5,69259.0
2014-02-04,93.23,94.44,92.37,93.92,66281.0
2014-02-03,95.61,96.33,91.13,92.56,98895.0
2014-01-31,94.24,95.79,94.24,95.65,68157.0
2014-01-30,93.59,95.82,93.59,95.04,71184.0
2014-01-29,92.84,93.27,92.79,93.0,61516.0
