Date,Open,High,Low,Close,Volume
2014-04-07,55.4,55.59,52.5,52.94,1507560.0
2014-04-04,57.06,57.5,53.97,54.81,2606643.0
2014-04-03,54.18,54.3,52.72,53.59,569604.0
2014-04-02,53.66,54.75,52.18,54.24,744236.0
2014-04-01,51.88,53.73,51.46,53.59,1043470.0
2014-03-31,51.23,52.08,50.37,51.79,750601.0
2014-03-28,51.57,52.22,50.61,50.73,610152.0
2014-03-27,52.12,53.66,50.9,51.43,1077941.0
2014-03-26,53.39,54.05,52.03,52.07,722162.0
2014-03-25,53.16,54.3,52.35,52.91,584572.0
2014-03-24,53.79,54.0,52.07,52.75,706359.0
2014-03-21,54.84,54.97,52.96,53.92,1361054.0
2014-03-20,54.08,54.79,53.39,54.72,573629.0
2014-03-19,55.13,55.31,53.61,54.16,674207.0
2014-03-18,53.58,55.04,53.51,54.78,689747.0
2014-03-17,53.0,53.78,52.89,53.45,470818.0
2014-03-14,52.25,53.12,51.77,52.74,470023.0
2014-03-13,54.67,54.74,51.77,52.38,757760.0
2014-03-12,53.69,54.62,53.08,54.32,462378.0
2014-03-11,55.62,55.9,54.02,54.28,727516.0
2014-03-10,55.25,55.96,54.88,55.6,897712.0
2014-03-07,55.31,55.32,53.91,55.28,892012.0
2014-03-06,54.28,55.23,54.27,54.75,897542.0
2014-03-05,55.16,55.64,53.99,54.07,844822.0
2014-03-04,53.04,55.58,52.94,55.12,1479242.0
2014-03-03,53.29,53.29,51.76,52.3,895736.0
2014-02-28,53.02,53.49,51.73,52.33,826993.0
2014-02-27,52.74,53.4,52.74,52.93,750892.0
2014-02-26,53.61,54.15,52.79,53.15,1154311.0
2014-02-25,54.1,54.35,53.25,53.46,903383.0
2014-02-24,53.87,54.58,53.14,54.31,950860.0
2014-02-21,54.0,54.09,52.9,52.98,1144707.0
2014-02-20,53.65,54.04,52.09,53.52,1385419.0
2014-02-19,54.7,55.13,53.56,53.8,998517.0
2014-02-18,54.49,55.66,54.49,55.32,930601.0
2014-02-14,54.6,55.21,54.35,54.58,740440.0
2014-02-13,54.38,55.17,54.05,54.66,852000.0
2014-02-12,55.1,55.64,54.6,54.91,574778.0
2014-02-11,55.5,56.1,54.71,55.19,949432.0
2014-02-10,55.1,55.59,54.57,54.99,823201.0
2014-02-07,54.36,55.07,54.13,55.01,1387885.0
2014-02-06,54.99,55.64,53.89,54.01,1220330.0
2014-02-05,54.74,55.51,54.04,54.67,930899.0
2014-02-04,55.02,55.49,54.11,55.23,1485073.0
2014-02-03,59.08,59.72,54.47,54.96,1908187.0
2014-01-31,57.28,59.74,55.75,59.42,2423066.0
2014-01-30,58.74,59.81,58.16,58.49,1910387.0
2014-01-29,57.18,58.14,56.14,57.74,1521678.0
2014-01-28,55.65,57.75,55.54,57.47,1839971.0
2014-01-27,58.87,58.88,53.76,55.43,3022547.0
2014-01-24,62.85,63.1,58.13,58.88,2789248.0
2014-01-23,63.12,63.42,62.21,63.4,10839361.0
2014-01-22,62.41,63.58,61.97,63.2,1205878.0
2014-01-21,65.0,65.1,62.28,62.67,1722049.0
2014-01-17,63.92,64.93,62.96,63.95,1751588.0
2014-01-16,62.02,63.48,61.78,62.12,1076764.0
2014-01-15,60.64,62.43,60.59,62.23,1431413.0
2014-01-14,58.67,60.42,57.03,60.4,996179.0
2014-01-13,61.18,61.19,58.17,58.69,938711.0
2014-01-10,60.43,61.44,59.87,60.71,568493.0
2014-01-09,60.72,61.08,59.45,60.34,725447.0
2014-01-08,61.41,61.75,60.51,60.73,970908.0
