Date,Open,High,Low,Close,Volume
2014-04-07,110.45,111.2,109.02,110.29,125054.0
2014-04-04,114.55,116.18,109.96,110.86,81478.0
2014-04-03,114.51,115.62,112.08,114.28,72542.0
2014-04-02,115.31,117.03,114.0,114.59,126731.0
2014-04-01,112.39,115.42,111.59,115.06,102983.0
2014-03-31,109.3,112.37,109.3,111.93,92188.0
2014-03-28,108.88,111.26,107.67,108.48,66343.0
2014-03-27,107.31,109.14,105.97,108.65,109323.0
2014-03-26,110.64,110.64,107.84,107.85,91370.0
2014-03-25,109.18,110.88,107.76,109.53,77207.0
2014-03-24,108.63,109.54,107.04,108.8,90813.0
2014-03-21,110.99,110.99,107.57,108.07,125331.0
2014-03-20,109.28,111.15,107.92,110.4,111899.0
2014-03-19,110.77,111.4,108.26,109.18,111655.0
2014-03-18,110.55,112.44,110.34,110.86,92311.0
2014-03-17,108.4,110.65,106.96,110.19,142975.0
2014-03-14,106.47,108.09,106.18,107.77,200147.0
2014-03-13,110.0,110.0,104.87,107.15,186127.0
2014-03-12,108.95,110.4,107.94,109.5,138833.0
2014-03-11,108.67,110.85,107.95,109.44,228341.0
2014-03-10,109.36,110.89,108.0,108.86,165577.0
2014-03-07,109.34,110.4,104.07,109.29,140615.0
2014-03-06,104.79,109.39,104.28,108.59,185080.0
2014-03-05,102.97,102.97,100.49,101.63,154717.0
2014-03-04,100.32,104.35,100.32,103.2,220858.0
2014-03-03,98.95,100.9,98.63,98.86,208625.0
2014-02-28,99.77,100.77,98.64,99.26,222472.0
2014-02-27,101.5,102.26,99.37,99.51,69904.0
2014-02-26,101.89,102.46,97.0,101.55,88096.0
2014-02-25,97.19,103.11,95.69,101.43,164905.0
2014-02-24,96.12,97.06,95.39,96.0,87479.0
2014-02-21,95.18,97.34,94.17,96.38,102584.0
2014-02-20,93.34,95.28,92.46,94.7,75034.0
2014-02-19,92.65,94.49,91.64,92.71,93583.0
2014-02-18,95.03,95.32,93.0,93.06,76481.0
2014-02-14,93.64,95.92,92.29,94.93,110840.0
2014-02-13,90.65,93.59,90.65,93.58,155978.0
2014-02-12,92.93,93.11,91.7,91.98,81094.0
